object_id,cluster,cluster_type
207145,cluster_0,outliers
308349,cluster_0,outliers
2737,cluster_0,outliers
309746,cluster_0,outliers
308555,cluster_0,outliers
63048,cluster_0,outliers
240423,cluster_0,outliers
206392,cluster_0,outliers
210783,cluster_0,outliers
312608,cluster_0,outliers
240428,cluster_0,outliers
208199,cluster_0,outliers
313340,cluster_0,outliers
51173,cluster_0,outliers
308476,cluster_0,outliers
18861,cluster_0,outliers
310542,cluster_0,outliers
313397,cluster_0,outliers
547523,cluster_0,outliers
313320,cluster_0,outliers
315999,cluster_0,outliers
308477,cluster_0,outliers
318607,cluster_0,outliers
658719,cluster_0,outliers
188993,cluster_0,outliers
199601,cluster_0,outliers
255351,cluster_0,outliers
207713,cluster_0,outliers
317619,cluster_0,outliers
460149,cluster_0,outliers
308352,cluster_0,outliers
39505,cluster_0,outliers
770921,cluster_0,outliers
50885,cluster_0,outliers
314365,cluster_0,outliers
315688,cluster_0,outliers
255796,cluster_0,outliers
197570,cluster_0,outliers
461193,cluster_0,outliers
314165,cluster_0,outliers
308616,cluster_0,outliers
857709,cluster_0,outliers
240274,cluster_0,outliers
247198,cluster_0,outliers
73810,cluster_0,outliers
308524,cluster_0,outliers
307871,cluster_0,outliers
312632,cluster_0,outliers
46848,cluster_0,outliers
309387,cluster_0,outliers
45914,cluster_0,outliers
309731,cluster_0,outliers
240763,cluster_0,outliers
771047,cluster_0,outliers
448826,cluster_0,outliers
188900,cluster_0,outliers
308452,cluster_0,outliers
310227,cluster_0,outliers
2636,cluster_0,outliers
312572,cluster_0,outliers
313289,cluster_0,outliers
204071,cluster_0,outliers
255289,cluster_0,outliers
308723,cluster_0,outliers
309386,cluster_0,outliers
194471,cluster_0,outliers
309353,cluster_0,outliers
315062,cluster_0,outliers
310465,cluster_0,outliers
314684,cluster_0,outliers
52569,cluster_0,outliers
254200,cluster_0,outliers
204066,cluster_0,outliers
748327,cluster_0,outliers
251401,cluster_0,outliers
19001,cluster_0,outliers
477323,cluster_0,outliers
748303,cluster_0,outliers
312165,cluster_0,outliers
313145,cluster_0,outliers
316001,cluster_0,outliers
308558,cluster_0,outliers
39496,cluster_0,outliers
187701,cluster_0,outliers
246189,cluster_0,outliers
670809,cluster_0,outliers
314633,cluster_0,outliers
188645,cluster_0,outliers
2292,cluster_0,outliers
194439,cluster_0,outliers
47149,cluster_0,outliers
197532,cluster_0,outliers
308414,cluster_0,outliers
307864,cluster_0,outliers
240432,cluster_0,outliers
194262,cluster_0,outliers
49273,cluster_0,outliers
444900,cluster_0,outliers
247635,cluster_0,outliers
771039,cluster_0,outliers
316882,cluster_0,outliers
477815,cluster_0,outliers
771038,cluster_0,outliers
309503,cluster_0,outliers
240403,cluster_0,outliers
47420,cluster_0,outliers
205327,cluster_0,outliers
308552,cluster_0,outliers
307863,cluster_0,outliers
203363,cluster_0,outliers
252902,cluster_0,outliers
47260,cluster_0,outliers
250747,cluster_0,outliers
254198,cluster_0,outliers
191731,cluster_0,outliers
240668,cluster_0,outliers
254189,cluster_0,outliers
255461,cluster_0,outliers
47064,cluster_0,outliers
246979,cluster_0,outliers
39520,cluster_0,outliers
252458,cluster_0,outliers
314954,cluster_0,outliers
247207,cluster_0,outliers
460263,cluster_0,outliers
314955,cluster_0,outliers
50355,cluster_1,weird_cluster
771068,cluster_1,weird_cluster
463709,cluster_1,weird_cluster
72420,cluster_1,weird_cluster
309747,cluster_1,weird_cluster
552353,cluster_1,weird_cluster
53006,cluster_1,weird_cluster
204046,cluster_1,weird_cluster
449652,cluster_1,weird_cluster
308298,cluster_1,weird_cluster
465831,cluster_1,weird_cluster
463546,cluster_1,weird_cluster
47846,cluster_1,weird_cluster
447292,cluster_1,weird_cluster
63083,cluster_1,weird_cluster
316764,cluster_1,weird_cluster
449659,cluster_1,weird_cluster
207847,cluster_1,weird_cluster
48099,cluster_1,weird_cluster
240124,cluster_1,weird_cluster
49204,cluster_1,weird_cluster
50359,cluster_1,weird_cluster
476258,cluster_1,weird_cluster
198416,cluster_1,weird_cluster
